SKN,Station.Name,Observer,Network,Island,ELEV.m.,LAT,LON,NCEI.id,NWS.id,NESDIS.id,SCAN.id,SMART_NODE_RF.id
12.11,Field 765,HUTCHINSON SUGAR,STATE,BI,518,19.16782193,-155.5472179,NA,NA,NA,NA,NA
12.12,Field 715,HUTCHINSON SUGAR,STATE,BI,351,19.16337795,-155.5336071,NA,NA,NA,NA,NA
12.13,Hilea Gulch Trib,USGS,STATE,BI,927,19.17421032,-155.597217,NA,NA,NA,NA,NA
12.15,SEA MOUNTAIN 12.15,SEA MOUNTAIN,COOP,BI,21,19.13310292,-155.5152744,USC00518600,NA,NA,NA,NA
12.7,Field 656,HUTCHINSON SUGAR,STATE,BI,534,19.14976747,-155.5791617,NA,NA,NA,NA,NA
12.8,Field 750,HUTCHINSON SUGAR,STATE,BI,646,19.17976517,-155.5722178,NA,NA,NA,NA,NA
12.9,Field 850,HUTCHINSON SUGAR,STATE,BI,595,19.17893212,-155.5527735,NA,NA,NA,NA,NA
13,Waiubata,HUTCHINSON SUGAR,STATE,BI,419,19.09643735,-155.5672178,NA,NA,NA,NA,NA
13.2,Field 435,HUTCHINSON SUGAR,STATE,BI,549,19.10532565,-155.5772175,NA,NA,NA,NA,NA
13.3,Field 51,HUTCHINSON SUGAR,STATE,BI,530,19.12032479,-155.5738842,NA,NA,NA,NA,NA
13.7,Naalehu Airstrip,HUTCHINSON SUGAR,STATE,BI,360,19.07532737,-155.5758284,NA,NA,NA,NA,NA
13.8,Kaala Iki Astrip,HUTCHINSON SUGAR,STATE,BI,534,19.13004644,-155.5738842,NA,NA,NA,NA,NA
14,NAALEHU 14,KAU SUGAR,COOP,BI,206,19.06032754,-155.5855501,USC00516588,NA,NA,NA,NA
14.1,Honuapo  25,HUTCHINSON SUGAR,STATE,BI,578,19.08032814,-155.5541624,NA,NA,NA,NA,NA
14.2,Naalehu Hewitt,GC HEWITT,STATE,BI,381,19.06366105,-155.5805503,NA,NA,NA,NA,NA
14.3,Naalehu (1725),HEWITT GC,STATE,BI,526,19.08032681,-155.5972167,NA,NA,NA,NA,NA
15,Honuapo,HUTCHINSON SUGAR,STATE,BI,6,19.0917161,-155.5488851,NA,NA,NA,NA,NA
16,Moaula Tunnel,HAWN AG,STATE,BI,915,19.21837381,-155.5438844,NA,NA,NA,NA,NA
16.1,Field 009,HAWN AG,STATE,BI,709,19.19698641,-155.5472179,NA,NA,NA,NA,NA
17,Moaula Res,HAWN AG,STATE,BI,595,19.19837542,-155.5272179,NA,NA,NA,NA,NA
17.1,Moaula-Willis,WILLIS TC,STATE,BI,518,19.19698684,-155.5138847,NA,NA,NA,NA,NA
17.2,Higashi Camp,HAWN AG,STATE,BI,491,19.19865342,-155.5111068,NA,NA,NA,NA,NA
18,Moaula,Kapapala RANCH,STATE,BI,183,19.18032172,-155.4922181,NA,NA,NA,NA,NA
20,Alili Tunnel 2,HAWN AG,STATE,BI,854,19.22531792,-155.5172177,NA,NA,NA,NA,NA
20.2,Alili,HAWN AG,STATE,BI,854,19.22004051,-155.5211066,NA,NA,NA,NA,NA
20.4,Field 100,HAWN AG,STATE,BI,816,19.2303176,-155.5091621,NA,NA,NA,NA,NA
20.5,Field 303,KAU PLANTATION,STATE,BI,866,19.24559424,-155.4983287,NA,NA,NA,NA,NA
21,Pahala,KAU SUGAR,HydroNet-UaNet,BI,346.8624,19.2042999,-155.4872,USC00517421,PPLH1,B16084B2,NA,NA
21.3,PAHALA MAUKA 21.3,COOP,COOP,BI,332,19.20667,-155.48861,USC00517437,NA,NA,NA,NA
21.4,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",CoCoRaHs,CoCoRaHs,BI,733.03,19.0908,-155.7552,US1HIHI0059,NA,NA,NA,NA
22,Keaiwa,HAWN AG,STATE,BI,503,19.23365092,-155.4769399,NA,NA,NA,NA,NA
22.1,KEAIWA CAMP,KAU SUGAR,STATE,BI,518,19.2336509,-155.4788844,NA,NA,NA,NA,NA
23,KAHUKU,RAWS,RAWS,BI,1796.4912,19.23222222,-155.78,NA,KRCH1,32639544,NA,NA
24,Ohia Lodge,REDFEARN MRS A,STATE,BI,402,19.2636556,-155.8741544,NA,NA,NA,NA,NA
24.1,OPIHIHALE 2 24.1,TRUMAN LORNA,COOP,BI,396,19.27032215,-155.8738768,USC00517166,NA,NA,NA,NA
24.2,Kaohe-Brown,BROWN DM,STATE,BI,290,19.31198823,-155.8772104,NA,NA,NA,NA,NA
24.4,KAOHE MAKAI 24.4,COOP,COOP,BI,37,19.317,-155.883,USC00513146,NA,NA,NA,NA
25,Pahoehoe,LINCOLN LP,STATE,BI,305,19.34393212,-155.8749878,NA,NA,NA,NA,NA
25.1,Kalahiki (750),MCDOUGALL GW,STATE,BI,229,19.40948383,-155.8894343,NA,NA,NA,NA,NA
25.2,Kalahiki (1500),MCDOUGALL GW,STATE,BI,457,19.38031887,-155.8638781,NA,NA,NA,NA,NA
25.3,Hookena,ENDO CAROLYN,STATE,BI,259,19.38031884,-155.8805447,NA,NA,NA,NA,NA
25.4,Kalahiki (1800),MCDOUGALL GW,STATE,BI,549,19.41198392,-155.8722121,NA,NA,NA,NA,NA
25.5,Mccandless Off,MCCANDLESS RANCH,STATE,BI,262,19.37698576,-155.8772112,NA,NA,NA,NA,NA
25.6,Kahauko Pen,MCCANDLESS RANCH,STATE,BI,70,19.37698549,-155.8938779,NA,NA,NA,NA,NA
25.7,Pahoehoe Ranch,MAGOON ESTATE,STATE,BI,335,19.33864,-155.87191,NA,NA,NA,NA,NA
26,Takashiba,KONA EXP STATION,STATE,BI,640,19.49031296,-155.895546,NA,NA,NA,NA,NA
26.2,KEALAKEKUA 26.2,GREENWELL ESTATE,COOP,BI,442,19.48975723,-155.9122125,USC00513977,NA,NA,NA,NA
26.3,Waipunaula,BRENNER GEO,STATE,BI,707,19.49420151,-155.8930461,NA,NA,NA,NA,NA
27,HONAUNAU 27,TANAKA S,COOP,BI,332,19.4403158,-155.8788789,USC00511665,NA,NA,NA,NA
27.1,Uyeda-Honaunau,BISHOP ESTATE,STATE,BI,210,19.43198288,-155.8872122,NA,NA,NA,NA,NA
27.2,Honaunau Forst 1,BISHOP ESTATE,STATE,BI,683,19.4119837,-155.8572121,NA,NA,NA,NA,NA
27.3,Honaunau Forst 2,BISHOP ESTATE,STATE,BI,1052,19.41698295,-155.8372123,NA,NA,NA,NA,NA
27.4,PUUHONUA O HONA 27.4,HAW NATL HSTL PA,COOP,BI,5,19.4184,-155.9112,USC00518552,NA,NA,NA,NA
27.5,Honaunau-Steffen,STEFFEN GE,STATE,BI,299,19.41753913,-155.8813788,NA,NA,NA,NA,NA
27.6,Honaunau No. 2,NWS,HydroNet-UaNet,BI,398.0688,19.4629002,-155.8824,NA,HAUH1,15D12742,NA,NA
28,NAPOOPOO 28,KONA EXP STATION,COOP,BI,122,19.46864784,-155.9055458,USC00516697,NA,NA,NA,NA
28.1,Napoopoo 16,AMERICAN FACTORS,STATE,BI,5,19.47336949,-155.9188791,NA,NA,NA,NA,NA
28.2,Keei Middle Rd,GLASS EE,STATE,BI,207,19.46198161,-155.8972124,NA,NA,NA,NA,NA
28.3,Kahauloa 2,BISHOP ESTATE,STATE,BI,463,19.46364797,-155.8788793,NA,NA,NA,NA,NA
28.4,Keei Makai 2,BISHOP ESTATE,STATE,BI,1769,19.44531561,-155.8916567,NA,NA,NA,NA,NA
28.5,CAPTAIN COOK 3.4 SSE,CAPTAIN COOK 3.4 SSE,CoCoRaHS,BI,385,19.4572,-155.8794,US1HIHI0045,NA,NA,NA,NA
28.6,Napoopookai,COULTER BRUCE,STATE,BI,3,19.46836978,-155.9211013,NA,NA,NA,NA,NA
28.7,Kealakekua #2,MEIER MRS LILAH,STATE,BI,442,19.49697886,-155.9138792,NA,NA,NA,NA,NA
28.9,Honaunau,MCLEAN-HUMPHREY,STATE,BI,349,19.44975979,-155.8805456,NA,NA,NA,NA,NA
29,KAAWALOA 29,CAPT COOK INVEST,COOP,BI,409,19.4919792,-155.9172124,USC00512327,NA,NA,NA,NA
29.1,Kealakekua-Davis,DAVIS REV SH,STATE,BI,482,19.50697819,-155.9172125,NA,NA,NA,NA,NA
29.12,Kealakekua,NWS,HydroNet-UaNet,BI,537.972,19.5181007,-155.9159,NA,KLEH1,81708572,NA,NA
29.2,Kalukalu,GREENWELL EC,STATE,BI,457,19.50864472,-155.9205458,NA,NA,NA,NA,NA
29.3,Konawaena,BUTTLES W,STATE,BI,482,19.50864475,-155.9172126,NA,NA,NA,NA,NA
29.4,Konawaena School,KONAWAENA SCH AG,STATE,BI,509,19.50864479,-155.9138793,NA,NA,NA,NA,NA
29.5,Kanakamelai,WH GREENWELL ESTATE,STATE,BI,951,19.53364313,-155.8805471,NA,NA,NA,NA,NA
29.6,Onouli,MITCHELL DR J,STATE,BI,412,19.50031189,-155.9208235,NA,NA,NA,NA,NA
29.8,Onouli (1600),GREENWELL ESTATE,STATE,BI,488,19.50197854,-155.9138792,NA,NA,NA,NA,NA
29.9,Malukalu,GREENWELL ESTATE,STATE,BI,780,19.5142001,-155.8949909,NA,NA,NA,NA,NA
30,Komakawai,MCCANDLESS RANCH,STATE,BI,1875,19.39864788,-155.7716573,NA,NA,NA,NA,NA
30.1,Big Hill,MCCANDLESS RANCH,STATE,BI,1415,19.40031632,-155.8122122,NA,NA,NA,NA,NA
30.2,Palipakika,MCCANDLESS RANCH,STATE,BI,945,19.38031865,-155.8472114,NA,NA,NA,NA,NA
30.3,Kiilae Stream,USGS,STATE,BI,884,19.41142799,-155.846101,NA,NA,NA,NA,NA
31,Haupuu,MCCANDLESS RANCH,STATE,BI,1372,19.43142557,-155.8119351,NA,NA,NA,NA,NA
34,Kapapala Ranch,NWS,HydroNet-UaNet,BI,638.556,19.2754993,-155.4514,USC00513300,KAYH1,B16097C4,NA,NA
35,Wood Valley Tunn,HAWN AG,STATE,BI,1037,19.27031477,-155.4955512,NA,NA,NA,NA,NA
35.2,Wood Valley Camp,HAWN AG,STATE,BI,655,19.26864852,-155.4705514,NA,NA,NA,NA,NA
35.3,Wood Valley 2000,HAWN AG,STATE,BI,610,19.2469831,-155.480551,NA,NA,NA,NA,NA
35.4,Wood Valley Res,HAWN AG,STATE,BI,753,19.27198146,-155.4855513,NA,NA,NA,NA,NA
35.6,Wood Valley,HAWN AG,STATE,BI,671,19.27031505,-155.4741625,NA,NA,NA,NA,NA
36,Kapapala,Kapapala RANCH,STATE,BI,652,19.27698138,-155.4505518,NA,NA,NA,NA,NA
36.1,Field 481,HAWN AG,STATE,BI,991,19.3003131,-155.4688851,NA,NA,NA,NA,NA
36.2,Field 480,HAWN AG,STATE,BI,938,19.29697994,-155.463885,NA,NA,NA,NA,NA
36.3,KAPAPALA RANCH,KAPAPALA RANCH,RAWS,BI,1081,19.25811,-155.441781,NA,KPRH1,AA10E258,NA,NA
37,Pakao,Kapapala RANCH,STATE,BI,1572,19.36864279,-155.4638871,NA,NA,NA,NA,NA
37.1,Mauna Anu,KAPAPALA RANCH,STATE,BI,2012,19.34697668,-155.5138856,NA,NA,NA,NA,NA
38.5,Kalapana 2,HAW VOL NAT PARK,STATE,BI,18,19.28392871,-155.1166644,NA,NA,NA,NA,NA
38.6,Naulu Forest,HAW VOL NAT PARK,STATE,BI,427,19.31531454,-155.1322199,NA,NA,NA,NA,NA
38.7,Kipuka Nene,HAW VOL NATL PARK,STATE,BI,892,19.32642878,-155.2780526,NA,NA,NA,NA,NA
38.8,KEALAKOMO 38.8,COOP,COOP,BI,84,19.29472,-155.14444,USC00514080,NA,NA,NA,NA
38.9,KAELAKOMO,KAELAKOMO,RAWS,BI,29.5656,19.29277778,-155.1075,NA,KMOH1,32807432,NA,NA
39,Mauna Loa Observatory,NWS,ESRL/GMD,BI,3397,19.5362,-155.5763,USC00516198,MOBH1,NA,NA,NA
39.1,Mauna Loa Upper,NWS,STATE,BI,3341,19.53863295,-155.5722206,NA,NA,NA,NA,NA
39.2,MAUNA LOA 5 NNE,MAUNA LOA 5 NNE,USCRN,BI,3398,19.5354,-155.576,USW00021514,MLBH1,CD07379A,NA,NA
43.2,Pahua Mimi,KAPAPALA RANCH,STATE,BI,1567,19.41530774,-155.4155555,NA,NA,NA,NA,NA
43.3,PUHE CS,PUHE CS,RAWS,BI,34.126,20.025,-155.8211111,NA,PHRH1,32D61558,NA,NA
44,Ohaikea,HAWN RANCH,STATE,BI,1061,19.404617,-155.342992,NA,NA,NA,NA,NA
44.1,Ohaikea (3750),USDA FRUIT FLY L,STATE,BI,1143,19.42197578,-155.3272225,NA,NA,NA,NA,NA
45,Kekekaniho,KAPAPALA RANCH,STATE,BI,1433,19.45363981,-155.3305566,NA,NA,NA,NA,NA
45.2,Mauna Loa Truck,USDA FRUIT FLY L,STATE,BI,1555,19.46697199,-155.3475012,NA,NA,NA,NA,NA
45.4,Maunaloa T 5300,UH BOTANY DEPT,STATE,BI,2012,19.46947176,-155.3541678,NA,NA,NA,NA,NA
45.5,Maunaloa T 6600,UH BOTANY DEPT,STATE,BI,2287,19.49058134,-155.3855564,NA,NA,NA,NA,NA
46,7500,BALDWIN PAUL,STATE,BI,2287,19.48030335,-155.4222225,NA,NA,NA,NA,NA
46.1,6700,BALDWIN PAUL,STATE,BI,2043,19.46919317,-155.4083338,NA,NA,NA,NA,NA
46.11,Kalanaokuaiki,BALDWIN PAUL,STATE,BI,1021,19.37475671,-155.2363879,NA,NA,NA,NA,NA
46.12,Kipuka Nene #3,BALDWIN PAUL,STATE,BI,915,19.33281667,-155.2783305,NA,NA,NA,NA,NA
46.13,Kipuka Nene #2,BALDWIN PAUL,STATE,BI,915,19.33281667,-155.2783305,NA,NA,NA,NA,NA
46.14,Kipuka Papalinam,BALDWIN PAUL,STATE,BI,762,19.31698707,-155.2519419,NA,NA,NA,NA,NA
46.15,Kipuka Keanabiho,BALDWIN PAUL,STATE,BI,716,19.31476284,-155.3072175,NA,NA,NA,NA,NA
46.2,5900,BALDWIN,STATE,BI,1799,19.46363826,-155.3916673,NA,NA,NA,NA,NA
46.3,5500,BALDWIN PAUL,STATE,BI,1677,19.47363808,-155.3630566,NA,NA,NA,NA,NA
46.4,4400,BALDWIN PAUL,STATE,BI,1341,19.43169672,-155.3416672,NA,NA,NA,NA,NA
46.5,Bird Park,BALDWIN PAUL,STATE,BI,1235,19.44197457,-155.2983344,NA,NA,NA,NA,NA
46.8,Lua Manu,BALDWIN PAUL,STATE,BI,1116,19.39919969,-155.2544442,NA,NA,NA,NA,NA
46.9,Ainahou Gate,BALDWIN PAUL,STATE,BI,936,19.35114724,-155.2258315,NA,NA,NA,NA,NA
47,KEMOKU LAVA FLOW,RAWS,RAWS,BI,1706.88,19.47555556,-155.3627778,USR0000HKEA,KKUH1,FA4447E8,NA,NA
48,PALI 2,RAWS,RAWS,BI,847.344,19.3175,-155.2922222,USR0000HPAL,PLIH1,FA900222,NA,NA
49,KEAUMO,RAWS,RAWS,BI,1682.496,19.47361111,-155.3588889,USR0000HKMO,HKMO,NA,NA,NA
51,Kilauea N Rim,WENTWORTH CK,STATE,BI,1235,19.43697516,-155.2705566,NA,NA,NA,NA,NA
51.1,Keauhou,WH SHIPMAN,STATE,BI,1220,19.43864165,-155.27889,NA,NA,NA,NA,NA
51.13,Vol Golf Course,MAUNA LOA OBSV,STATE,BI,1220,19.43864167,-155.2761122,NA,NA,NA,NA,NA
51.2,Kilauea Camp,HAW VOL NAT PARK,STATE,BI,1148,19.40531048,-155.2577778,NA,NA,NA,NA,NA
51.3,Olaa 29 Miles,GIFFARD WM,STATE,BI,1159,19.43030925,-155.25139,NA,NA,NA,NA,NA
51.4,Volcano House,VOLCANO HOUSE,STATE,BI,1212,19.42864255,-155.2588899,NA,NA,NA,NA,NA
51.5,Volcano Farm Lot,GALBRAITH WR,STATE,BI,1174,19.4653072,-155.2488911,NA,NA,NA,NA,NA
51.7,Mauna Loa Truck,USDA FRUIT FLY L,STATE,BI,1220,19.43864136,-155.3083342,NA,NA,NA,NA,NA
51.8,Kipuka Ki,USDA FRUIT FLY L,STATE,BI,1296,19.44336304,-155.3172232,NA,NA,NA,NA,NA
51.9,Volcano Golf Cou,WRISTON ARTHUR,STATE,BI,1280,19.48086163,-155.2669465,NA,NA,NA,NA,NA
52,HAWAII VOL. NATIONAL PARK HQ. 54,HAW VOL NAT PARK,COOP,BI,1113,19.40197768,-155.2805552,USC00511033,NA,NA,NA,NA
54,HAWAII VOLCNS NP HQ 54,HAW VOL NATL PARK,COOP,BI,1210,19.429741,-155.257146,USC00511303,NA,NA,NA,NA
54.1,Ohianlani Dairy,ENGLISH MISS M,STATE,BI,1152,19.42669854,-155.2386123,NA,NA,NA,NA,NA
54.14,Devastation Area,HAW VOL NAT PARK,STATE,BI,1116,19.3958665,-155.261944,NA,NA,NA,NA,NA
54.2,Glenwood,HELBUSH XL,HydroNet-UaNet,BI,802.2336,19.5076008,-155.1707,USC00510744,GLNH1,NA,NA,NA
54.3,Glenwood-P Sug,PUNA SUGAR,STATE,BI,665,19.52030552,-155.1372266,NA,NA,NA,NA,NA
54.4,26 Miles,SHIPMAN WH,STATE,BI,1052,19.44003119,-155.2111136,NA,NA,NA,NA,NA
54.5,Haunani Road,HORNER EUGENE,STATE,BI,1189,19.43030932,-155.2472234,NA,NA,NA,NA,NA
54.7,Kilauea Iki #1,HAW VOL NAT PK,STATE,BI,1070,19.41419906,-155.2483338,NA,NA,NA,NA,NA
54.8,Thurston,Thurston,HavoNet,BI,1202,19.41528,-155.23833,NA,NA,NA,NA,NA
54.9,Ola a,Ola a,HavoNet,BI,1040,19.47833,-155.215,NA,NA,NA,NA,NA
55,Volcano Haunani,MCBRIDE RICHARD,STATE,BI,1140,19.43225376,-155.2375015,NA,NA,NA,NA,NA
55.1,VOLCANO 4.3 SSE,VOLCANO 4.3 SSE,CoCoRaHS,BI,1059,19.4391,-155.2156,US1HIHI0013,NA,NA,NA,NA
55.2,VOLCANO 4.5 S,VOLCANO 4.5 S,CoCoRaHS,BI,1117,19.4333,-155.228,US1HIHI0017,NA,NA,NA,NA
55.3,VOLCANO 4.4 S,VOLCANO 4.4 S,CoCoRaHS,BI,1158,19.4338,-155.2417,US1HIHI0040,NA,NA,NA,NA
55.4,GLENWOOD NO 2 55.4,COOP,COOP,BI,671,19.52194,-155.14389,USC00510746,NA,NA,NA,NA
55.5,MOUNTAIN VIEW 0.6 ESE,MOUNTAIN VIEW 0.6 ESE,CoCoRaHS,BI,663,19.5179,-155.1402,US1HIHI0042,NA,NA,NA,NA
55.6,VOLCANO 4.0,COOP,COOP,BI,1194.8,19.441359,-155.2487445,US1HIHI0071,NA,NA,NA,NA
56,S Glenwood,SUSAN CAREY,STATE,BI,649,19.33031822,-155.3138836,NA,NA,NA,NA,NA
57,KUPU KUPU,RAWS,RAWS,BI,710.4888,19.34805556,-155.1258333,NA,NA,NA,NA,NA
